id,source_id,source_cutoff,question_text,trigger_span,answer_text,answer_span,answer_score,snippet_has_arg1_of,trigger_has_arg1_of,answer_has_arg2_of
starshade.S97.Q1,starshade,5212,Is it the sun?,"[5172, 5201]",,,1.0,['NoRel:nan'],['NoRel:nan'],[]
starshade.S102.Q1,starshade,5262,What makes it not science fiction?,"[5234, 5260]",It was tested out last summer. ,"[5321.0, 5363.0]",3.0,['EntRel:nan'],['EntRel:nan'],['Implicit:Expansion.Level-of-detail.Arg2-as-detail']
starshade.S104.Q1,starshade,5399,What exactly did you test?,"[5326, 5359]",,,1.0,['NoRel:nan'],['NoRel:nan'],[]
starshade.S106.Q1,starshade,5457,How big would a full scale shade be?,"[5425, 5455]",,,1.0,['EntRel:nan'],['EntRel:nan'],[]
starshade.S108.Q1,starshade,5537,What do the petals look like?,"[5507, 5535]",,,2.0,"['EntRel:nan', 'AltLex:Temporal.Asynchronous.Precedence']","['EntRel:nan', 'AltLex:Temporal.Asynchronous.Precedence']",[]
starshade.S112.Q1,starshade,5652,How long did it take them to build the petals?,"[5537, 5588]",,,1.0,['EntRel:nan'],[],[]
starshade.S116.Q1,starshade,5791,Do they rotate clockwise or counterclockwise? ,"[5652, 5690]",,,1.0,['EntRel:nan'],[],[]
starshade.S44.Q1,starshade,2544,What are they working on?,"[2414, 2435]",that someone took inspiration from an eclipse,"[2713.0, 2740.0]",3.0,['Explicit:Expansion.Conjunction'],[],"['EntRel:nan', 'Explicit:Expansion.Conjunction']"
starshade.S43.Q1,starshade,2398,How far away can a planet be seen?,"[2304, 2321]",,,1.0,['Implicit:Expansion.Conjunction'],[],[]
starshade.S45.Q1,starshade,2612,What is that method to detect an Earth-like planet?,"[2561, 2591]",Shielding the bright star like an eclipse does with the sun is that method.,"[2713.0, 2740.0]",3.0,['EntRel:nan'],['EntRel:nan'],"['EntRel:nan', 'Explicit:Expansion.Conjunction']"
starshade.S67.Q1,starshade,3524,What would we build the screen from?,"[3328, 3346]",,,1.0,['Implicit:Expansion.Conjunction'],['Implicit:Expansion.Conjunction'],[]
starshade.S52.Q1,starshade,2788,Is a solar eclipse bright?,"[2764, 2786]",that the mon has moved to block out the light,"[2828.0, 2859.0]",3.0,['Implicit:Contingency.Cause.Reason'],['Implicit:Contingency.Cause.Reason'],['Implicit:Expansion.Conjunction']
starshade.S40.Q1,starshade,2203,how far is the light?,"[2167, 2186]",very bright images wash out the planet,"[2255.0, 2292.0]",3.0,['Implicit:Expansion.Conjunction'],['Implicit:Expansion.Conjunction'],"['AltLex:Hypophora', 'Implicit:Contingency.Cause.Reason', 'Implicit:Expansion.Conjunction']"
starshade.S42.Q1,starshade,2372,How do we fix the bright light?,"[2337, 2370]",they are working on something cool,"[2425.0, 2463.0]",4.0,['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],['Implicit:Expansion.Conjunction']
starshade.S1.Q1,starshade,142,How many planets are there?,"[108, 140]",There are as many planets as there are stars.,"[477.0, 514.0]",3.0,['Implicit:Expansion.Conjunction'],['Implicit:Expansion.Conjunction'],['NoRel:nan']
starshade.S5.Q1,starshade,448,How much progress has been made on the technology?,"[371, 392]",,,1.0,['NoRel:nan'],['NoRel:nan'],[]
starshade.S7.Q1,starshade,658,Are any of these Earth-like planets close to Earth?,"[546, 589]",,,2.0,['Implicit:Expansion.Substitution.Arg2-as-subst'],[],[]
starshade.S9.Q1,starshade,747,Are there plans to directly identify them?,"[664, 693]",,,2.0,['EntRel:nan'],[],[]
starshade.S11.Q1,starshade,986,Where did Voyager go after leaving our solar system?,"[832, 856]",,,1.0,['Implicit:Comparison.Concession.Arg2-as-denier'],[],[]
starshade.S13.Q1,starshade,1030,Have we attempted it before?,"[986, 1011]",,,2.0,['Implicit:Contingency.Cause.Reason'],[],[]
starshade.S19.Q1,starshade,1226,Where is the Hubble Space Telescope currently?,"[1121, 1153]",,,1.0,['Explicit:Contingency.Cause.Reason'],[],[]
starshade.S33.Q1,starshade,2070,Are the stars bright?,"[1993, 2018]",,,2.0,['EntRel:nan'],['EntRel:nan'],[]
starshade.S38.Q1,starshade,2141,When will we see the red circle?,"[2094, 2111]",that the light is defracting from the star,"[2163.0, 2201.0]",3.0,"['Explicit:Contingency.Cause.Reason', 'Implicit:Expansion.Conjunction']",['Explicit:Contingency.Cause.Reason'],"['AltLex:Hypophora', 'Implicit:Contingency.Cause.Reason', 'Implicit:Expansion.Level-of-detail.Arg2-as-detail']"
starshade.S51.Q1,starshade,2764,What space telescope did Lyman Spitzer inspire?,"[2638, 2686]",,,1.0,['EntRel:nan'],[],[]
starshade.S33.Q2,starshade,2070,Who is present in this passage?,"[1689, 1700]",,,1.0,['EntRel:nan'],[],[]
starshade.S38.Q2,starshade,2141,Why do we want to see it?,"[2113, 2139]",,,1.0,"['Explicit:Contingency.Cause.Reason', 'Implicit:Expansion.Conjunction']","['Explicit:Contingency.Cause.Reason', 'Implicit:Expansion.Conjunction']",[]
starshade.S40.Q2,starshade,2203,Will we see the planet?,"[2152, 2161]","Maybe, if we do something about the light.","[2323.0, 2370.0]",3.0,['Implicit:Expansion.Conjunction'],[],['Explicit:Contingency.Cause.Result']
starshade.S42.Q2,starshade,2372,How do we get rid of the light?,"[2323, 2370]",,,2.0,['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],[]
starshade.S44.Q2,starshade,2544,What technology is the coolest?,"[2535, 2542]",,,2.0,['Explicit:Expansion.Conjunction'],['Explicit:Expansion.Conjunction'],[]
starshade.S48.Q2,starshade,2742,How did the eclipse inspire Spitzer?,"[2701, 2740]",,,1.0,['EntRel:nan'],['EntRel:nan'],[]
starshade.S52.Q2,starshade,2788,How does the eclipse help?,"[2764, 2786]",,,1.0,['Implicit:Contingency.Cause.Reason'],['Implicit:Contingency.Cause.Reason'],[]
starshade.S30.Q1,starshade,1965,How far away are we now?,"[1889, 1912]",,,1.0,['Implicit:Expansion.Conjunction'],[],[]
starshade.S37.Q1,starshade,2113,Is the planet visible at all anymore?,"[2026, 2068]","It could be visible, but is very difficult to see.","[2141.0, 2161.0]",3.0,['EntRel:nan'],['EntRel:nan'],"['AltLex:Hypophora', 'Implicit:Contingency.Cause.Reason', 'Explicit:Contingency.Cause.Reason', 'Implicit:Expansion.Conjunction']"
starshade.S39.Q1,starshade,2163,What are some ways to see a dim planet like that?,"[2120, 2139]",Overcoming the brightness of the star is the way to see the planet.,"[2334.0, 2370.0]",3.0,['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],[],['Explicit:Contingency.Cause.Result']
starshade.S41.Q1,starshade,2301,Can other methods be used to detect the planet?,"[2278, 2299]",Light from the star needs to be blocked out to see the planet.,"[2375.0, 2396.0]",3.0,['Explicit:Contingency.Cause.Result'],['Explicit:Contingency.Cause.Result'],['Implicit:Expansion.Level-of-detail.Arg2-as-detail']
starshade.S85.Q2,starshade,4378,what does the shadow look like?,"[4350, 4376]",10 billion times dimmer,"[4389.0, 4431.0]",4.0,['EntRel:nan'],['EntRel:nan'],['EntRel:nan']
starshade.S125.Q1,starshade,6617,"Why is it so impressive to see planets through a space telescope - this has been done an endless amount of times before, but what is new about this situation?","[6588, 6601]",These individuals are attempting to determine if other plants are able to sustain life - which explains their project. ,"[6719.0, 6730.0]",4.0,['EntRel:nan'],[],['EntRel:nan']
starshade.S93.Q3,starshade,5004,why does the telescope turn around?,"[4980, 5002]",,,1.0,['Explicit:Temporal.Asynchronous.Precedence'],['Explicit:Temporal.Asynchronous.Precedence'],[]
starshade.S99.Q3,starshade,5172,how does it know where to go?,"[5102, 5127]",,,1.0,['AltLex:Contingency.Cause.Result'],['AltLex:Contingency.Cause.Result'],[]
starshade.S78.Q2,starshade,4239,why does softening the edges work?,"[4003, 4021]","control their shape, we can control diffraction, and now we have a great shadow","[4364.0, 4376.0]",4.0,['EntRel:nan'],[],"['EntRel:nan', 'Explicit:Expansion.Conjunction', 'Implicit:Contingency.Cause.Result']"
starshade.S62.Q1,starshade,3524,Which planets will you see?,"[3501, 3522]",,,1.0,['Implicit:Expansion.Conjunction'],['Implicit:Expansion.Conjunction'],[]
starshade.S69.Q1,starshade,3618,Why aren't there any planets?,"[3598, 3616]",There aren't any planets visible because the screen idea doesn't work very well. ,"[3626.0, 3664.0]",5.0,['Explicit:Contingency.Cause.Reason'],['Explicit:Contingency.Cause.Reason'],"['EntRel:nan', 'Explicit:Contingency.Cause.Reason']"
starshade.S71.Q1,starshade,3790,Can you see planets through the telescope?,"[3756, 3788]",We can't see planets.,"[3914.0, 3934.0]",5.0,['AltLex:Comparison.Similarity'],['AltLex:Comparison.Similarity'],"['Explicit:Expansion.Conjunction', 'Implicit:Contingency.Cause.Result']"
starshade.S73.Q1,starshade,3910,How can you preserve the shadow?,"[3854, 3884]",You can feather or soften the edges to control diffraction.,"[4134.0, 4166.0]",5.0,"['Explicit:Expansion.Conjunction', 'Implicit:Contingency.Cause.Result']",[],['Explicit:Expansion.Conjunction']
starshade.S87.Q2,starshade,4534,why is the planet more visible?,"[4452, 4468]",,,1.0,['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],[],[]
starshade.S89.Q2,starshade,4728,Why does it have to be so far away?,"[4599, 4632]",,,1.0,['EntRel:nan'],['EntRel:nan'],[]
starshade.S91.Q2,starshade,4910,what happens after the hub?,"[4881, 4908]",separates from the telescope,"[4913.0, 4941.0]",5.0,['Implicit:Temporal.Asynchronous.Precedence'],['Implicit:Temporal.Asynchronous.Precedence'],['Implicit:Temporal.Asynchronous.Precedence']
starshade.S75.Q1,starshade,3974,What was Spitzer's answer?,"[3940, 3972]",If you soften the edges you can see the planets because you are controlling diffraction.,"[4058.0, 4082.0]",5.0,['EntRel:nan'],['EntRel:nan'],['EntRel:nan']
starshade.S77.Q1,starshade,4168,Are there any other solutions?,"[4134, 4151]",You can make the edges of the petals exactly right to control diffraction.,"[4245.0, 4289.0]",5.0,['Implicit:Expansion.Conjunction'],['Implicit:Expansion.Conjunction'],"['Explicit:Contingency.Condition.Arg2-as-cond', 'EntRel:nan']"
starshade.S83.Q1,starshade,4239,Who else calls it the flower petal starshade?,"[4198, 4237]",,,1.0,['EntRel:nan'],['EntRel:nan'],[]
starshade.S119.Q1,starshade,6049,What is the purpose of these various tests on the 'petals?',"[5952, 5983]",They a designing a system to take a new 'portrait of the solar system in a way which I have yet to fully understand.,"[6301.0, 6336.0]",3.0,['EntRel:nan'],['EntRel:nan'],['EntRel:nan']
starshade.S121.Q1,starshade,6248,Are these people designing another version of a space telescope? ,"[6139, 6179]",,,2.0,[],[],[]
starshade.S123.Q1,starshade,6464,What on earth is an occulter - and what is the purpose of taking this 'family portrait of the solar system?,"[6423, 6431]",I believe this device is related to the ability to track the elements needed to sustain life on other planets. ,"[6638.0, 6673.0]",3.0,['NoRel:nan'],['NoRel:nan'],['EntRel:nan']
starshade.S127.Q1,starshade,6778,How reliable is this technology that determines of these various plants have the properties needed to sustain life? ,"[6686, 6704]",,,1.0,['Implicit:Expansion.Conjunction'],[],[]
starshade.S73.Q2,starshade,3910,Is there some way to do this that won't destroy the shadow?,"[3854, 3884]",control diffraction by softening the edges then we can see the planets,"[4003.0, 4051.0]",5.0,"['Explicit:Expansion.Conjunction', 'Implicit:Contingency.Cause.Result']",[],"['Explicit:Contingency.Condition.Arg2-as-cond', 'EntRel:nan', 'Implicit:Expansion.Level-of-detail.Arg2-as-detail', 'Explicit:Contingency.Cause.Result']"
starshade.S75.Q2,starshade,3974,What can be done so we can see the planets?,"[3914, 3934]",control diffraction by softening the edges,"[4003.0, 4051.0]",5.0,['EntRel:nan'],[],"['Explicit:Contingency.Condition.Arg2-as-cond', 'EntRel:nan', 'Implicit:Expansion.Level-of-detail.Arg2-as-detail', 'Explicit:Contingency.Cause.Result']"
starshade.S77.Q2,starshade,4168,What kinds of solutions were discovered to accomplish this?,"[4115, 4151]",The flower petal starshade is one solution.,"[4215.0, 4237.0]",5.0,['Implicit:Expansion.Conjunction'],['Implicit:Expansion.Conjunction'],['EntRel:nan']
starshade.S83.Q2,starshade,4239,How does the flower petal starshade work?,"[4211, 4237]",control the shape of the starshade which allows researchers to control diffraction,"[4297.0, 4344.0]",5.0,['EntRel:nan'],['EntRel:nan'],"['Explicit:Contingency.Condition.Arg2-as-cond', 'EntRel:nan', 'Implicit:Expansion.Conjunction']"
starshade.S110.Q1,starshade,5692,What are these 'petals that are being discussed? ,"[5522, 5528]",,,2.0,['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],[],[]
starshade.S117.Q1,starshade,5893,What type of equipment are these individuals testing?,"[5791, 5807]",I assume they are building a rocket or some type of vehicle for launch into space. ,"[5985.0, 6012.0]",4.0,['EntRel:nan'],['EntRel:nan'],"['EntRel:nan', 'Explicit:Comparison.Concession.Arg2-as-denier', 'Explicit:Contingency.Condition.Arg2-as-cond', 'Implicit:Expansion.Conjunction']"
starshade.S97.Q2,starshade,5212,Which planets will we see?,"[5178, 5201]",,,1.0,['NoRel:nan'],['NoRel:nan'],[]
starshade.S102.Q2,starshade,5262,What is it called?,"[5234, 5260]",Part of it is petals and a sub-scale star shade.,"[5412.0, 5455.0]",3.0,['EntRel:nan'],['EntRel:nan'],"['NoRel:nan', 'EntRel:nan']"
starshade.S104.Q2,starshade,5399,Was the test a success?,"[5334, 5359]",,,1.0,['NoRel:nan'],['NoRel:nan'],[]
starshade.S120.Q1,starshade,6139,What stars will the object take pictures of?,"[6073, 6137]",Picture of the solar system,"[6292.0, 6336.0]",5.0,['EntRel:nan'],['EntRel:nan'],['EntRel:nan']
starshade.S122.Q1,starshade,6354,How much larger does the telescope need to be?,"[6156, 6196]",,,1.0,['Implicit:Contingency.Cause.Reason'],[],[]
starshade.S71.Q2,starshade,3790,Is there another way to do this that doesn't diffract the light waves?,"[3717, 3751]",,,2.0,['AltLex:Comparison.Similarity'],['AltLex:Comparison.Similarity'],[]
starshade.S113.Q1,starshade,5791,What is JPL?,"[5615, 5621]",,,1.0,['EntRel:nan'],[],[]
starshade.S118.Q1,starshade,6014,Why do they want the object to go into space?,"[5985, 6013]",To take pictures in space,"[6049.0, 6065.0]",3.0,[],[],['EntRel:nan']
starshade.S124.Q1,starshade,6603,What is the pale blue dot?,"[6565, 6602]",Earth,"[6603.0, 6615.0]",5.0,['EntRel:nan'],['EntRel:nan'],['EntRel:nan']
starshade.S126.Q1,starshade,6732,How far away can the telescope see?,"[6679, 6731]",,,1.0,['EntRel:nan'],['EntRel:nan'],[]
starshade.S128.Q1,starshade,6812,Why is this the coolest science?,"[6732, 6776]",Because it will change the world,"[6812.0, 6854.0]",5.0,['Explicit:Contingency.Cause.Reason'],[],"['Implicit:Expansion.Conjunction', 'Explicit:Contingency.Cause.Reason']"
starshade.S124.Q2,starshade,6603,What is that pale blue dot?,"[6588, 6601]",The pale blue dot is Earth.,"[6603.0, 6615.0]",5.0,['EntRel:nan'],['EntRel:nan'],['EntRel:nan']
starshade.S69.Q2,starshade,3618,How else could someone see the planets?,"[3598, 3616]",,,1.0,['Explicit:Contingency.Cause.Reason'],['Explicit:Contingency.Cause.Reason'],[]
starshade.S62.Q2,starshade,3524,Was Spitzer's suggestion doable?,"[3279, 3299]",It didn't work.,"[3640.0, 3674.0]",4.0,['Implicit:Expansion.Conjunction'],[],"['EntRel:nan', 'Explicit:Contingency.Cause.Reason']"
starshade.S106.Q2,starshade,5457,What does the star shade do?,"[5425, 5455]",,,1.0,['EntRel:nan'],['EntRel:nan'],[]
starshade.S108.Q2,starshade,5537,How are the petals operated? ,"[5507, 5535]",They rotate into place.,"[5673.0, 5690.0]",4.0,"['EntRel:nan', 'AltLex:Temporal.Asynchronous.Precedence']","['EntRel:nan', 'AltLex:Temporal.Asynchronous.Precedence']",['EntRel:nan']
starshade.S112.Q2,starshade,5652,What does JPL stand for?,"[5597, 5621]",,,1.0,['EntRel:nan'],[],[]
starshade.S116.Q2,starshade,5791,What happens if they miss their place?,"[5717, 5755]",,,1.0,['EntRel:nan'],['EntRel:nan'],[]
starshade.S29.Q1,starshade,1846,Will the sun affect what you can see in space?,"[1776, 1811]","yes, it's very bright like the other stars","[1989.0, 2006.0]",3.0,['NoRel:nan'],['NoRel:nan'],"['AltLex:Hypophora', 'Implicit:Contingency.Cause.Reason', 'Implicit:Expansion.Conjunction']"
starshade.S35.Q1,starshade,1965,Is the planet too far away to see at this point?,"[1945, 1963]",It's hard to see due to the brightness of nearby stars,"[2014.0, 2068.0]",3.0,['Implicit:Expansion.Conjunction'],['Implicit:Expansion.Conjunction'],"['AltLex:Hypophora', 'Implicit:Contingency.Cause.Reason', 'Implicit:Expansion.Conjunction']"
starshade.S126.Q2,starshade,6732,How far will this telescope see?,"[6638, 6673]",,,1.0,['EntRel:nan'],['EntRel:nan'],[]
starshade.S128.Q2,starshade,6812,What if the telescope does find life?,"[6752, 6776]",Everything will change.,"[6856.0, 6883.0]",4.0,['Explicit:Contingency.Cause.Reason'],[],['EntRel:nan']
starshade.S113.Q2,starshade,5791,What do teh petals do?,"[5543, 5588]",It might be able to take images of Earth's neighboring stars.,"[6073.0, 6099.0]",3.0,['EntRel:nan'],[],['EntRel:nan']
starshade.S118.Q2,starshade,6014,What technology are you trying to get into space?,"[5962, 5983]",We could get images of neighboring stars.,"[6014.0, 6047.0]",4.0,[],[],"['EntRel:nan', 'Explicit:Comparison.Concession.Arg2-as-denier']"
starshade.S120.Q2,starshade,6139,Will this technology allow us to take pictures of planets and stars?,"[6058, 6065]","Yes, it will allow us to get images of our solar system.","[6149.0, 6179.0]",5.0,['EntRel:nan'],['EntRel:nan'],"['Explicit:Contingency.Condition.Arg2-as-cond', 'EntRel:nan']"
starshade.S122.Q2,starshade,6354,What else might we see with this technology?,"[6253, 6288]",We might be able to see a different solar system from our own.,"[6376.0, 6403.0]",4.0,['Implicit:Contingency.Cause.Reason'],[],['Implicit:Contingency.Cause.Reason']
starshade.S64.Q1,starshade,3435,what can you use to travel to space with a big screen?,"[3328, 3366]",all this failed ,"[3643.0, 3675.0]",5.0,['Implicit:Temporal.Asynchronous.Precedence'],[],"['EntRel:nan', 'Explicit:Contingency.Cause.Reason']"
starshade.S68.Q1,starshade,3566,we are going to use a space ship or a rocket,"[3435, 3459]",,,1.0,['EntRel:nan'],[],[]
starshade.S49.Q1,starshade,2788,how is that possible?,"[2576, 2610]",the moon moved toward the sun to get that corona ,"[2792.0, 2826.0]",5.0,['Implicit:Contingency.Cause.Reason'],[],['Implicit:Contingency.Cause.Reason']
starshade.S54.Q1,starshade,2901,is the moon going to crush the sun,"[2788, 2826]",that will never happen,"[2917.0, 2945.0]",5.0,['AltLex:Expansion.Equivalence'],[],['AltLex:Expansion.Equivalence']
starshade.S56.Q1,starshade,3039,is there a different if you turn around and look,"[3008, 3037]",that makes a difference ,"[3039.0, 3061.0]",5.0,['NoRel:nan'],['NoRel:nan'],['NoRel:nan']
starshade.S58.Q1,starshade,3115,what happens to the sun when the moon blocks its light from reaching where it was supposed ,"[3067, 3113]",we use use a camera telescope to see that,"[3124.0, 3160.0]",5.0,['EntRel:nan'],['EntRel:nan'],"['AltLex:Hypophora', 'EntRel:nan']"
starshade.S60.Q1,starshade,3279,how does the moon being in front of the sun affect the sun ,"[3165, 3185]",,,1.0,['EntRel:nan'],['EntRel:nan'],[]
starshade.S1.Q2,starshade,142,How many planets are there?,"[120, 140]",,,2.0,['Implicit:Expansion.Conjunction'],['Implicit:Expansion.Conjunction'],[]
starshade.S83.Q3,starshade,4239,What is the flower petal starshade like?,"[4215, 4237]",,,2.0,['EntRel:nan'],['EntRel:nan'],[]
starshade.S2.Q1,starshade,296,What is the instrument that can be able to image on earth?,"[190, 233]",Space telescope can be used ?,"[477.0, 514.0]",4.0,['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],['Implicit:Expansion.Level-of-detail.Arg2-as-detail'],['NoRel:nan']
starshade.S6.Q1,starshade,625,Does every star in the galaxy has planet ?,"[550, 589]",Yes they have ,"[658.0, 693.0]",5.0,['Explicit:Comparison.Concession.Arg2-as-denier'],['Explicit:Comparison.Concession.Arg2-as-denier'],['Implicit:Expansion.Substitution.Arg2-as-subst']
starshade.S5.Q2,starshade,448,How long will this take?,"[427, 446]",,,1.0,['NoRel:nan'],['NoRel:nan'],[]
starshade.S7.Q2,starshade,658,How did astronomers come to the conclusion that up to 1/5 of stars have an Earth-like planet?,"[540, 589]",,,1.0,['Implicit:Expansion.Substitution.Arg2-as-subst'],[],[]
starshade.S14.Q1,starshade,1226,Why can't they see as far as the want ot with the telescope?,"[1186, 1224]",The telescope is too small and out of orbit,"[1240.0, 1281.0]",3.0,['Explicit:Contingency.Cause.Reason'],['Explicit:Contingency.Cause.Reason'],"['AltLex:Hypophora', 'Implicit:Contingency.Cause.Reason', 'Explicit:Contingency.Cause.Reason']"
starshade.S11.Q2,starshade,986,Where is Voyager now?,"[767, 793]",,,1.0,['Implicit:Comparison.Concession.Arg2-as-denier'],[],[]
starshade.S13.Q2,starshade,1030,What are the issues around what the author wants done?,"[1012, 1029]",,,2.0,['Implicit:Contingency.Cause.Reason'],['Implicit:Contingency.Cause.Reason'],[]
starshade.S19.Q2,starshade,1226,How can we improve our imaging?,"[1188, 1224]",,,1.0,['Explicit:Contingency.Cause.Reason'],['Explicit:Contingency.Cause.Reason'],[]
starshade.S75.Q3,starshade,3974,What is the answer?,"[3940, 3972]",The answer is to feather and soften the edges.,"[3984.0, 4021.0]",5.0,['EntRel:nan'],['EntRel:nan'],"['Explicit:Contingency.Condition.Arg2-as-cond', 'EntRel:nan', 'Implicit:Expansion.Level-of-detail.Arg2-as-detail']"
starshade.S9.Q2,starshade,747,How have we detected these planets indirectly?,"[658, 693]",,,2.0,['EntRel:nan'],[],[]
starshade.S62.Q3,starshade,3524,Why do they want to see the planets?,"[3501, 3522]",,,1.0,['Implicit:Expansion.Conjunction'],['Implicit:Expansion.Conjunction'],[]
starshade.S69.Q3,starshade,3618,Why aren't there planets yet?,"[3598, 3616]",The plan didn't work well.,"[3626.0, 3674.0]",5.0,['Explicit:Contingency.Cause.Reason'],['Explicit:Contingency.Cause.Reason'],"['EntRel:nan', 'Explicit:Contingency.Cause.Reason']"
starshade.S71.Q3,starshade,3790,Is there going to be a new plan?,"[3723, 3764]",,,1.0,['AltLex:Comparison.Similarity'],['AltLex:Comparison.Similarity'],[]
starshade.S73.Q3,starshade,3910,Why is the shadow so terrible?,"[3886, 3908]",,,1.0,"['Explicit:Expansion.Conjunction', 'Implicit:Contingency.Cause.Result']","['Explicit:Expansion.Conjunction', 'Implicit:Contingency.Cause.Result']",[]
starshade.S77.Q3,starshade,4168,What are those solutions?,"[4134, 4166]",The flower petal starshade is at least one solution.,"[4215.0, 4237.0]",4.0,['Implicit:Expansion.Conjunction'],['Implicit:Expansion.Conjunction'],['EntRel:nan']
starshade.S7.Q3,starshade,658,will we be able to see the earth-like planets anytime soon?,"[629, 656]",only can see them indirectly,"[658.0, 694.0]",3.0,['Implicit:Expansion.Substitution.Arg2-as-subst'],['Implicit:Expansion.Substitution.Arg2-as-subst'],['Implicit:Expansion.Substitution.Arg2-as-subst']
starshade.S21.Q1,starshade,1330,How blurry will earth look after the telescope was adjusted?,"[1291, 1328]",It looks smaller,"[1366.0, 1421.0]",4.0,['Implicit:Contingency.Cause.Result'],['Implicit:Contingency.Cause.Result'],"['AltLex:Hypophora', 'Implicit:Contingency.Cause.Reason', 'EntRel:nan']"
starshade.S23.Q1,starshade,1423,Can you see uranus with telescope?,"[1349, 1364]",They can see moons around uranus orbit,"[1426.0, 1455.0]",3.0,['Implicit:Comparison.Concession.Arg2-as-denier'],[],"['AltLex:Hypophora', 'Implicit:Contingency.Cause.Reason', 'Implicit:Comparison.Concession.Arg2-as-denier']"
starshade.S25.Q1,starshade,1569,Can you see the edge of the solar system with a telescope?,"[1515, 1543]","No, it's dot like at this distance","[1599.0, 1638.0]",4.0,['AltLex:Temporal.Synchronous'],['AltLex:Temporal.Synchronous'],"['AltLex:Hypophora', 'Implicit:Contingency.Cause.Reason', 'Implicit:Expansion.Equivalence']"
starshade.S27.Q1,starshade,1640,Can the telescope be adjusted at this distance?,"[1582, 1597]","Yes, you can move further away or up closer.","[1640.0, 1687.0]",3.0,['Explicit:Expansion.Conjunction'],[],"['AltLex:Hypophora', 'Implicit:Contingency.Cause.Reason', 'Explicit:Expansion.Conjunction']"
starshade.S116.Q3,starshade,5791,What happens if they get misplaced?,"[5759, 5789]",Failure won't happen,"[5822.0, 5864.0]",3.0,['EntRel:nan'],['EntRel:nan'],"['EntRel:nan', 'Explicit:Expansion.Conjunction']"
starshade.S9.Q3,starshade,747,Will NASA have the budget to keep looking for more blue dots?,"[703, 745]",,,1.0,['EntRel:nan'],['EntRel:nan'],[]
starshade.S11.Q3,starshade,986,How close is the nearest earth-like planet?,"[882, 920]",,,1.0,['Implicit:Comparison.Concession.Arg2-as-denier'],[],[]
starshade.S13.Q3,starshade,1030,Why haven't we seen more earth-like planets?,"[986, 1011]",we haven't moved the Hubble Space Telescope so we can see more,"[1060.0, 1113.0]",4.0,['Implicit:Contingency.Cause.Reason'],[],"['AltLex:Hypophora', 'Implicit:Contingency.Cause.Reason', 'AltLex:Contingency.Condition.Arg2-as-cond', 'Explicit:Expansion.Conjunction', 'Implicit:Temporal.Asynchronous.Precedence']"
